path	bytes	lines
.agents/skills/pre-pr-tests/SKILL.md	519	12
.claude/skills/add-tool/SKILL.md	5134	170
.claude/skills/add-tool/examples/cli-utility.go	1969	65
.claude/skills/add-tool/examples/crossplatform-app.go	2290	84
.claude/skills/add-tool/examples/macos-app.go	1602	53
.claude/skills/add-tool/references/helper-functions.md	4218	210
.claude/skills/add-tool/references/tool-interface.md	6059	246
.claude/skills/pre-pr-tests/SKILL.md	15212	501
.github/dependabot.yml	261	14
.github/workflows/ci.yml	3093	116
.github/workflows/claude-code-review.yml	1767	47
.github/workflows/claude.yml	2051	50
.github/workflows/release.yml	4539	121
.gitignore	346	39
.golangci.bck.yml	1559	95
.golangci.yml	1231	60
.goreleaser.yml	1662	85
AGENTS.md	8111	208
CLAUDE.md	8111	208
LICENSE	1063	21
LinuxLocalTesting/Notes	5408	143
Makefile	4884	148
README.md	14445	348
cmd/dotfiles/AGENTS.md	4663	133
cmd/dotfiles/apply.go	7106	214
cmd/dotfiles/apply_test.go	12744	293
cmd/dotfiles/distribution_test.go	1910	71
cmd/dotfiles/doctor.go	23480	695
cmd/dotfiles/doctor_repair.go	19650	500
cmd/dotfiles/doctor_repair_test.go	12405	362
cmd/dotfiles/doctor_test.go	12779	361
cmd/dotfiles/effective_user.go	306	10
cmd/dotfiles/effective_user_test.go	2141	72
cmd/dotfiles/effective_user_unix.go	107	9
cmd/dotfiles/effective_user_unsupported.go	86	7
cmd/dotfiles/main.go	33925	1123
cmd/dotfiles/manager_identity_test.go	353	18
cmd/dotfiles/plan_exit_test.go	4731	125
cmd/dotfiles/plan_json.go	5558	182
cmd/dotfiles/plan_json_test.go	14134	330
cmd/dotfiles/restore_test.go	9549	273
cmd/dotfiles/status_json.go	15128	425
cmd/dotfiles/status_json_test.go	54627	1224
cmd/dotfiles/support.go	8932	253
cmd/dotfiles/support_command_adversarial_test.go	18489	428
cmd/dotfiles/support_json.go	32212	840
cmd/dotfiles/support_json_adversarial_test.go	27068	636
cmd/dotfiles/support_json_test.go	16211	336
cmd/dotfiles/support_test.go	8128	249
cmd/dotfiles/task16_theme_list_test.go	966	34
cmd/dotfiles/uninstall_safety_test.go	9300	300
docs/archive/beta.plan.md	4080	139
docs/archive/v2-analysis-plan.md	12702	335
docs/legacy-migration.md	2238	39
docs/releasing.md	2384	54
docs/security-scanning.md	4215	105
docs/tools.md	14230	253
go.mod	1313	33
go.sum	5377	57
internal/AGENTS.md	1907	38
internal/backup/backup.go	36896	972
internal/backup/backup_test.go	36568	991
internal/backup/catalog.go	5831	160
internal/backup/catalog_test.go	2648	89
internal/backup/conditional_restore_test.go	4521	131
internal/backup/create.go	28948	738
internal/backup/create_test.go	24318	675
internal/backup/plan_restore_test.go	3211	97
internal/config/AGENTS.md	7393	217
internal/config/claude.go	10172	289
internal/config/claude_test.go	14134	433
internal/config/config.go	36736	960
internal/config/config_test.go	29198	974
internal/config/global_lock_unix_test.go	3325	129
internal/config/global_lock_unsupported_test.go	603	23
internal/config/global_path_authority_test.go	3642	114
internal/config/hotkeys.go	6984	245
internal/config/hotkeys_migration_test.go	8177	296
internal/config/hotkeys_path_test.go	3023	89
internal/config/loadtoolconfig_test.go	2283	74
internal/config/tool.go	2474	89
internal/config/tool_state_authority_test.go	6853	193
internal/config/user.go	5729	237
internal/config/user_test.go	9502	383
internal/health/installation.go	30614	786
internal/health/installation_snapshot_digest_test.go	15552	262
internal/health/installation_test.go	32047	583
internal/hotkeys/AGENTS.md	2499	108
internal/hotkeys/hotkeys.go	12191	415
internal/hotkeys/hotkeys_stable_id_test.go	5477	191
internal/hotkeys/hotkeys_test.go	5689	208
internal/installapply/manager_identity_authority_test.go	5029	115
internal/installapply/recipe.go	8370	263
internal/installapply/recipe_test.go	16253	370
internal/installapply/service.go	16176	377
internal/installapply/service_test.go	33621	730
internal/installplan/manager_identity_authority_test.go	7517	200
internal/installplan/npm_identity_authority_test.go	17085	354
internal/installplan/service.go	29639	781
internal/installplan/service_adversarial_test.go	6530	153
internal/installplan/service_detector_authority_test.go	11139	235
internal/installplan/service_mapping_test.go	2940	72
internal/installplan/service_multi_test.go	16359	362
internal/installplan/service_public_plan_hash_test.go	2392	71
internal/installplan/service_state_authority_test.go	4364	126
internal/installplan/service_test.go	13384	335
internal/installplan/service_validation_test.go	15743	361
internal/installplan/session.go	5384	153
internal/installplan/session_test.go	8339	181
internal/operation/journal.go	14061	403
internal/operation/journal_summary.go	19451	650
internal/operation/journal_summary_adversarial_test.go	13400	351
internal/operation/journal_summary_test.go	22788	565
internal/operation/journal_test.go	6582	220
internal/operation/lock.go	3811	116
internal/operation/lock_test.go	3094	115
internal/operation/plan.go	20286	522
internal/operation/plan_test.go	13189	346
internal/operation/state.go	19266	463
internal/operation/state_authority_digest_test.go	4770	145
internal/operation/state_test.go	16649	507
internal/pkg/AGENTS.md	4138	110
internal/pkg/apt.go	13077	416
internal/pkg/apt_bench_test.go	3586	148
internal/pkg/brew.go	14633	493
internal/pkg/brew_test.go	7494	258
internal/pkg/command.go	1043	27
internal/pkg/executable_identity.go	11043	318
internal/pkg/executable_identity_test.go	31056	964
internal/pkg/manager.go	9031	319
internal/pkg/manager_executable_identity_test.go	44378	1190
internal/pkg/manager_test.go	7718	312
internal/pkg/mock_manager.go	5462	204
internal/pkg/npm_execution_identity.go	13693	365
internal/pkg/npm_execution_identity_start_test.go	11428	334
internal/pkg/npm_execution_identity_test.go	14463	420
internal/pkg/pacman.go	16544	568
internal/pkg/pacman_test.go	5279	165
internal/pkg/update.go	4079	166
internal/pkg/update_test.go	6488	191
internal/planpublic/intent.go	2674	104
internal/planpublic/intent_test.go	4389	133
internal/planpublic/projection.go	19860	664
internal/planpublic/projection_adversarial_test.go	9583	237
internal/planpublic/projection_plan_hash_test.go	4062	111
internal/planpublic/projection_safety_test.go	8573	202
internal/planpublic/projection_status_test.go	4067	108
internal/planpublic/projection_test.go	5473	149
internal/planpublic/projection_vocabulary_test.go	13924	253
internal/runner/bash.go	4398	174
internal/runner/bash_test.go	8494	256
internal/runner/exact_streaming.go	4030	160
internal/runner/exact_streaming_test.go	11024	295
internal/safefile/anchored_unix.go	25808	746
internal/safefile/anchored_unix_test.go	31627	1001
internal/safefile/authority_digest_unix_test.go	7276	184
internal/safefile/capture_child_authorized_unix_test.go	6270	174
internal/safefile/directory_digest.go	1154	43
internal/safefile/directory_shallow_unix.go	10648	239
internal/safefile/directory_shallow_unix_test.go	9274	252
internal/safefile/directory_unix.go	52010	1214
internal/safefile/directory_unix_test.go	29831	797
internal/safefile/ownership_policy_test.go	818	25
internal/safefile/parent_chain_unix.go	24124	595
internal/safefile/parent_chain_unix_test.go	21955	571
internal/safefile/read_authorized_limit_unix_test.go	8562	263
internal/safefile/read_limit_unix_test.go	8003	223
internal/safefile/removal_open_darwin.go	384	11
internal/safefile/removal_open_linux.go	348	11
internal/safefile/replace_unix.go	21980	612
internal/safefile/replace_unix_test.go	21616	683
internal/safefile/replace_unsupported.go	6565	188
internal/safefile/safefile.go	15517	395
internal/safefile/unsupported_test.go	6516	107
internal/scripts/scripts.go	20834	398
internal/scripts/scripts_test.go	11149	340
internal/theme/names.go	362	21
internal/theme/palettes.go	6602	266
internal/theme/theme.go	786	32
internal/tools/AGENTS.md	6429	178
internal/tools/accepted_authority_test.go	14936	432
internal/tools/ai_cli_tools_test.go	6258	159
internal/tools/application_type.go	4474	145
internal/tools/application_type_test.go	4819	130
internal/tools/apps.go	16040	617
internal/tools/apps_test.go	4995	199
internal/tools/btop.go	16348	497
internal/tools/btop_import.go	9030	280
internal/tools/btop_import_test.go	7326	164
internal/tools/btop_ownership_test.go	2151	61
internal/tools/claude_code.go	8803	224
internal/tools/claude_code_install_test.go	1680	63
internal/tools/claude_code_test.go	2290	76
internal/tools/codex.go	1262	46
internal/tools/config_validation_test.go	3374	92
internal/tools/config_writer_test.go	36785	924
internal/tools/cursor_agent.go	1985	57
internal/tools/cursor_agent_test.go	6500	159
internal/tools/fzf.go	9671	288
internal/tools/fzf_security_test.go	5845	175
internal/tools/ghostty.go	14899	429
internal/tools/ghostty_import.go	10443	282
internal/tools/ghostty_install_test.go	538	22
internal/tools/ghostty_ownership_test.go	11080	301
internal/tools/ghostty_resolved_authority_test.go	5570	153
internal/tools/git.go	17823	495
internal/tools/git_import.go	16439	461
internal/tools/git_ownership_test.go	13870	372
internal/tools/glow.go	7453	247
internal/tools/glow_import.go	18807	600
internal/tools/glow_import_test.go	13860	391
internal/tools/glow_test.go	1587	53
internal/tools/hermes_agent.go	1910	58
internal/tools/hermes_agent_test.go	10126	217
internal/tools/install_recipe.go	2314	60
internal/tools/install_recipe_test.go	2139	57
internal/tools/installation_health.go	20426	539
internal/tools/installation_health_test.go	42642	796
internal/tools/installed_observer.go	7940	271
internal/tools/installed_observer_test.go	11405	338
internal/tools/lazygit.go	10250	277
internal/tools/lazygit_import.go	17141	476
internal/tools/lazygit_import_test.go	22365	587
internal/tools/managed_config.go	5726	174
internal/tools/managed_config_recovery_test.go	2989	98
internal/tools/moonlight.go	1633	60
