record_type	slice_id	contract_frozen_commit	tests_commit	verified_scope_commit	payload_commit	candidate_sha256	reason
bootstrap-v1	g0-plan-state-reset	1aa1c36b3a21d9bc9e31362b21e536e57187e711	-	-	ee1b5847ad026dcdfb4871d41064e2b9742cedfd	-	pre-g1-unverified
bootstrap-v1	g1-slice-state-enforcement	668f1acfe751970b205af6eed6bc83ad8bf5894f	4675a1a235c35e6cd3a03aa3871088e003c1659b	-	-	-	superseded-at-tests-red
bootstrap-v1	g1-replan-catalog	1bb4f9b6e56d7c1b09cc0602b4ddda29593f58e2	-	-	493235a9a98f64e38cdae105144fcd71eefe8bce	-	pre-enforcement-replan-catalog
bootstrap-v1	g1a-candidate-authority	df0bd217ce0f8e36ae5f44e6d09a0a187c161d43	770bf8d1ec2ebf28fdb9e91362723aa9ce90a6fd	a62cc74e32fe38821a4524e1bf2d18884d1045eb	3c6025adadde63fcc5d7289b06ae947e658a5b43	f0727c52696ef06e4ff21eb10b5bcd8f3ca1f4404a5218963b495bd1670722ed	candidate-checker-self-upgrade-bootstrap
bootstrap-v1	g1b-ledger-closure	b30b9c626903d8e98e19e596023abd506c04b437	8a01b48bda47b96a13887eda1a0f3f3fdb3b4479	52a97934ceb4ecfb9fe1914856dec8d8f5ea6914	9ae61f2cad71b00582f63e9a380eea3e3ba142a6	f9f9b05094a27893c07a7755c8dc88e6ee99031e26b7507942bc2b66fe3735eb	ledger-checker-self-upgrade-bootstrap
normal-v1	g1c-guardrail-adoption	f3ceefedea5875a1b01f73f5b407eb2e7669cea6	5cd55c9c2c5ffd8ba1176e53a2d4e6853335491a	4f6a7bfb2bc8e2c30059e20c682d2ee02f969c3c	c8999550ade4a631112ca8b531b7323e827627f7	211176f55ffc27dd7aefe10ed02c6cd26369697c028a987a0335fe81af631cfc	-
normal-v1	rg0-roadmap-reconciliation	6cc30525bad27b451ef42d71a804597900e62c69	1feec98aed24c6a2b3f94e855e2f5a4d1dd08bca	9e67509746f642a68cce867236f0528ef189b6b4	9ee02391d7b9c79ac1fb920dc5e2c06f4419f569	49d57fbfa814de838463f2710a9518469edc88ade538db89bc4f271ae8454938	-
normal-v1	ba1a-snapshot-extraction	f46c333ee1a65a57e237d06b88c2e1c32e1d809c	6db471c9409b1bec828529873b16eab742995182	c53c6641334313a33152beb3765f5cfcf43bd9a8	959fdda86b03a6fd433a110ca03792deec4dee6d	c4661145cda4e5b42231cca63c428d68c6636743757a74f07febafb224c70516	-
normal-v1	ba1sf1-restore-parent-authority	ccaa7a73ffd6d0e3fc038e23c841e1c3ae476a7d	5d49456db4e360b0e3aae7c77cfc17b0b7b6f027	353305e7ce53ca7e7534f54383dcdada151eea93	841ee5806fddb01924e143ac236276d09aa795b8	748136231ffaffe8b2f6bba1754ee1104463f5607132c9a33c59de34007e84c7	-
normal-v1	ba1sf2f-restore-file-mutations	812c6f9e0b526a9718d83bbb00e38174d796c076	a7e6c941bd03b0bb6558bb7868b6c28bf1069fd3	9e66926e10a636eb4ed0b867ed154d2a14be45f4	a21b8369de54f025ee4ec2b1d962803bf0401184	8ce950b308685dc84a3e424b6c86fea52820f8ae725e26ba2f6491dc3b7c4fc0	-
